 longitude      latitude      elevation    fog
  -82.8597641         35.9046516         0.00000000                 1
  -82.8381805         35.8704872         0.00000000                 1
  -82.8331070         35.8753242         0.00000000                 1
  -82.8664474         35.8273163         0.00000000                 1
  -82.8404617         35.8427391         0.00000000                 1
  -82.8466034         35.8380661         0.00000000                 1
  -82.8584366         35.8365326         0.00000000                 1
  -82.8630524         35.8337364         0.00000000                 1
  -82.8843765         35.8201637         0.00000000                 1
  -82.8496170         35.8381462         0.00000000                 1
  -82.8730621         35.8337212         0.00000000                 0
  -82.8414917         35.8605919         0.00000000                 1
  -82.8901825         35.8187218         0.00000000                 1
  -82.8418808         35.8729401         0.00000000                 1
  -82.9203186         35.7937088         0.00000000                 1
  -82.8534317         35.9055367         0.00000000                 1
  -82.8624954         35.8360786         0.00000000                 1
  -82.8421707         35.8418732         0.00000000                 1
  -82.8486481         35.9035797         0.00000000                 1
  -82.8582077         35.9003830         0.00000000                 1
  -82.8544388         35.8363609         0.00000000                 1
  -82.8638458         35.8332176         0.00000000                 1
  -82.8320465         35.8908882         0.00000000                 1
  -82.8498611         35.9011116         0.00000000                 1
  -82.8732300         35.8334389         0.00000000                 0
  -82.8586731         35.9052162         0.00000000                 1
  -82.8706589         35.9108505         0.00000000                 1
  -82.8366623         35.8787994         0.00000000                 1
  -82.8321991         35.8780365         0.00000000                 1
  -82.8359985         35.8935280         0.00000000                 1
  -82.8786621         35.8209419         0.00000000                 1
  -82.9180374         35.8175659         0.00000000                 0
  -82.8428650         35.8452301         0.00000000                 1
  -82.8574142         35.8369789         0.00000000                 1
  -82.9249954         35.8190346         0.00000000                 0
  -82.8388519         35.8987160         0.00000000                 1
  -82.8757401         35.8187294         0.00000000                 1
  -82.8764725         35.9138412         0.00000000                 1
  -82.8579788         35.9109764         0.00000000                 1
  -82.8524780         35.8370438         0.00000000                 1
  -82.8371201         35.8724174         0.00000000                 1
  -82.9123383         35.8054504         0.00000000                 1
  -82.8945236         35.8198242         0.00000000                 1
  -82.8733597         35.8333664         0.00000000                 0
  -82.8727264         35.8332176         0.00000000                 1
  -82.8357162         35.8736153         0.00000000                 1
  -82.8732376         35.8232727         0.00000000                 1
  -82.8450928         35.8991585         0.00000000                 1
  -82.8591309         35.9021606         0.00000000                 1
  -82.8652802         35.8271942         0.00000000                 1
  -82.9138184         35.8097801         0.00000000                 0
  -82.8924561         35.9238396         0.00000000                 1
  -82.8944550         35.8243637         0.00000000                 0
  -82.8629913         35.8435135         0.00000000                 0
  -82.9160385         35.8180809         0.00000000                 0
  -82.9246750         35.8009109         0.00000000                 0
  -82.8416748         35.8440933         0.00000000                 1
  -82.8355331         35.8936691         0.00000000                 1
  -82.9077988         35.8139191         0.00000000                 1
  -82.8258286         35.8879929         0.00000000                 1
  -82.8545532         35.9031410         0.00000000                 1
  -82.8638382         35.8301849         0.00000000                 1
  -82.8415985         35.8937569         0.00000000                 1
  -82.8343582         35.8917274         0.00000000                 1
  -82.8620987         35.8444214         0.00000000                 0
  -82.8621292         35.8979530         0.00000000                 1
  -82.8673859         35.8292427         0.00000000                 1
  -82.8408813         35.8420296         0.00000000                 1
  -82.8313065         35.8890724         0.00000000                 1
  -82.8402405         35.8404503         0.00000000                 1
  -82.8763046         35.8185463         0.00000000                 1
  -82.8354568         35.8925514         0.00000000                 1
  -82.8593597         35.8992043         0.00000000                 1
  -82.8587799         35.9001160         0.00000000                 1
  -82.8406525         35.8589439         0.00000000                 1
  -82.8498230         35.8956261         0.00000000                 1
  -82.8933105         35.8160744         0.00000000                 1
  -82.8622131         35.8348808         0.00000000                 1
  -82.9122849         35.8169060         0.00000000                 1
  -82.8375778         35.8733368         0.00000000                 1
  -82.8504486         35.8425102         0.00000000                 0
  -82.9477081         35.7967453         0.00000000                 0
  -82.8372116         35.8791847         0.00000000                 1
  -82.9257431         35.8194122         0.00000000                 0
  -82.8540955         35.9055595         0.00000000                 1
  -82.9129944         35.8167114         0.00000000                 1
  -82.9149399         35.8178444         0.00000000                 1
  -82.8633881         35.8304596         0.00000000                 1
  -82.8394775         35.8569450         0.00000000                 1
  -82.8284607         35.8884430         0.00000000                 1
  -82.8812332         35.8200264         0.00000000                 1
  -82.8621597         35.8369255         0.00000000                 1
  -82.8538895         35.9054604         0.00000000                 1
  -82.8911514         35.8179398         0.00000000                 1
  -82.8627625         35.8964386         0.00000000                 1
  -82.8737335         35.8219719         0.00000000                 1
  -82.8939438         35.8234978         0.00000000                 0
  -82.9512024         35.7967834         0.00000000                 0
  -82.8373795         35.8677368         0.00000000                 1
  -82.8523712         35.9037323         0.00000000                 1
  -82.8735657         35.8339119         0.00000000                 0
  -82.8557587         35.9103394         0.00000000                 1
  -82.8625107         35.8328133         0.00000000                 1
  -82.8853378         35.8200722         0.00000000                 1
  -82.8463745         35.9000092         0.00000000                 1
  -82.8825378         35.9096336         0.00000000                 1
  -82.9486618         35.8139687         0.00000000                 0
  -82.8538513         35.8420601         0.00000000                 0
  -82.8330383         35.8923836         0.00000000                 1
  -82.8604660         35.9038391         0.00000000                 1
  -82.8710327         35.8251953         0.00000000                 1
  -82.8992310         35.8207626         0.00000000                 0
  -82.8573074         35.9015579         0.00000000                 1
  -82.8479080         35.8362617         0.00000000                 1
  -82.9215698         35.8024139         0.00000000                 1
  -82.8253174         35.8865242         0.00000000                 1
  -82.8630371         35.8343124         0.00000000                 1
  -82.8524399         35.9045982         0.00000000                 1
  -82.8621368         35.8309555         0.00000000                 1
  -82.9322510         35.8166084         0.00000000                 0
  -82.8750992         35.8213844         0.00000000                 1
  -82.8601379         35.8367729         0.00000000                 1
  -82.8624954         35.8326187         0.00000000                 1
  -82.8600235         35.8976288         0.00000000                 1
  -82.8739624         35.8221512         0.00000000                 1
  -82.8787766         35.8274345         0.00000000                 0
  -82.8578644         35.8360023         0.00000000                 1
  -82.8580093         35.9099655         0.00000000                 1
  -82.8521194         35.9072418         0.00000000                 1
  -82.8813324         35.8183403         0.00000000                 1
  -82.8471069         35.8377724         0.00000000                 1
  -82.8418121         35.8499336         0.00000000                 1
  -82.9212570         35.8060913         0.00000000                 1
  -82.8302231         35.8874207         0.00000000                 1
  -82.8362350         35.8734932         0.00000000                 1
  -82.8824615         35.9138374         0.00000000                 1
  -82.8546982         35.9100952         0.00000000                 1
  -82.8651199         35.9128189         0.00000000                 1
  -82.8622437         35.8355141         0.00000000                 1
  -82.8325272         35.8769035         0.00000000                 1
  -82.8542938         35.8424149         0.00000000                 0
  -82.8376770         35.8738251         0.00000000                 1
