 longitude      latitude      elevation    fog
  -82.9012299         35.7664146         0.00000000                 0
  -82.8972702         35.7651596         0.00000000                 0
  -82.8905945         35.7649040         0.00000000                 0
  -82.8862686         35.7652740         0.00000000                 0
  -82.8809052         35.7658272         0.00000000                 0
  -82.9014511         35.7708473         0.00000000                 0
  -82.8957291         35.7700996         0.00000000                 0
  -82.8912888         35.7713280         0.00000000                 0
  -82.8858414         35.7713089         0.00000000                 0
  -82.8802261         35.7715759         0.00000000                 0
  -82.9020767         35.7744141         0.00000000                 0
  -82.8947906         35.7759361         0.00000000                 0
  -82.8907166         35.7742767         0.00000000                 0
  -82.8855591         35.7751999         0.00000000                 0
  -82.8808899         35.7756081         0.00000000                 0
  -82.9007263         35.7796898         0.00000000                 0
  -82.8958740         35.7791290         0.00000000                 0
  -82.8915634         35.7780266         0.00000000                 0
  -82.8865585         35.7792244         0.00000000                 0
  -82.8795013         35.7808151         0.00000000                 0
  -82.8960342         35.7830887         0.00000000                 0
  -82.8906403         35.7822990         0.00000000                 0
  -82.8839417         35.7835693         0.00000000                 0
  -82.8801498         35.7829323         0.00000000                 0
  -82.8998260         35.7670326         0.00000000                 0
  -82.8952484         35.7667618         0.00000000                 0
  -82.8893585         35.7667885         0.00000000                 0
  -82.8853149         35.7665176         0.00000000                 0
  -82.8796005         35.7644501         0.00000000                 0
  -82.9001694         35.7702522         0.00000000                 0
  -82.8968658         35.7717247         0.00000000                 0
  -82.8924942         35.7716370         0.00000000                 0
  -82.8874283         35.7712097         0.00000000                 0
  -82.8807373         35.7710915         0.00000000                 0
  -82.9026337         35.7748718         0.00000000                 0
  -82.8961945         35.7749863         0.00000000                 0
  -82.8908310         35.7753639         0.00000000                 0
  -82.8860016         35.7754173         0.00000000                 0
  -82.8802643         35.7757607         0.00000000                 0
  -82.9006805         35.7797356         0.00000000                 0
  -82.8973846         35.7786903         0.00000000                 0
  -82.8892288         35.7803802         0.00000000                 0
  -82.8809662         35.7783432         0.00000000                 0
  -82.9040070         35.7841721         0.00000000                 0
  -82.8968353         35.7836342         0.00000000                 0
  -82.8911133         35.7834396         0.00000000                 0
  -82.8850861         35.7850227         0.00000000                 0
  -82.8804855         35.7837677         0.00000000                 0
  -82.9031677         35.7664032         0.00000000                 0
  -82.8968811         35.7667732         0.00000000                 0
  -82.8921204         35.7668076         0.00000000                 0
  -82.8848801         35.7666206         0.00000000                 0
  -82.8790665         35.7668953         0.00000000                 0
  -82.8995819         35.7721634         0.00000000                 0
  -82.8961258         35.7705498         0.00000000                 0
  -82.8909836         35.7716026         0.00000000                 0
  -82.8843918         35.7705956         0.00000000                 0
  -82.8801956         35.7712326         0.00000000                 0
  -82.9024734         35.7751999         0.00000000                 0
  -82.8947067         35.7753754         0.00000000                 0
  -82.8921432         35.7747650         0.00000000                 0
  -82.8851013         35.7763062         0.00000000                 0
  -82.8800735         35.7746086         0.00000000                 0
  -82.8969879         35.7796135         0.00000000                 0
  -82.8919373         35.7790680         0.00000000                 0
  -82.8869629         35.7802544         0.00000000                 0
  -82.8813553         35.7782936         0.00000000                 0
  -82.9024353         35.7832222         0.00000000                 0
  -82.8963318         35.7836266         0.00000000                 0
  -82.8915710         35.7840996         0.00000000                 0
  -82.8836670         35.7839737         0.00000000                 0
  -82.8801270         35.7837257         0.00000000                 0
  -82.9035110         35.7665977         0.00000000                 0
  -82.8971100         35.7664108         0.00000000                 0
  -82.8910065         35.7664719         0.00000000                 0
  -82.8855972         35.7665863         0.00000000                 0
  -82.8807144         35.7662659         0.00000000                 0
  -82.9032898         35.7697144         0.00000000                 0
  -82.8960648         35.7713928         0.00000000                 0
  -82.8896866         35.7704735         0.00000000                 0
  -82.8830338         35.7710190         0.00000000                 0
  -82.9017410         35.7755280         0.00000000                 0
  -82.8963318         35.7742462         0.00000000                 0
  -82.8921661         35.7749710         0.00000000                 0
  -82.8858185         35.7757263         0.00000000                 0
  -82.8820267         35.7742004         0.00000000                 0
