 longitude      latitude      elevation    fog
  -82.8294907         35.8879738         0.00000000                 1
  -82.8876495         35.9185257         0.00000000                 1
  -82.8538589         35.8360481         0.00000000                 1
  -82.8476486         35.8384514         0.00000000                 1
  -82.8997955         35.8123245         0.00000000                 1
  -82.8901138         35.8222885         0.00000000                 1
  -82.8540649         35.8418503         0.00000000                 1
  -82.8594131         35.8987045         0.00000000                 1
  -82.8719635         35.8263550         0.00000000                 1
  -82.8781433         35.9159470         0.00000000                 1
  -82.8757248         35.8191490         0.00000000                 1
  -82.8894882         35.8190079         0.00000000                 1
  -82.8632431         35.8313637         0.00000000                 1
  -82.8919830         35.8184700         0.00000000                 1
  -82.9147034         35.8179359         0.00000000                 1
  -82.8697052         35.8259010         0.00000000                 1
  -82.8687820         35.8315048         0.00000000                 1
  -82.8429184         35.8478203         0.00000000                 1
  -82.8619614         35.8302231         0.00000000                 1
  -82.9189529         35.8183823         0.00000000                 0
  -82.8412857         35.8724937         0.00000000                 1
  -82.8904266         35.8230667         0.00000000                 0
  -82.8651810         35.9038620         0.00000000                 1
  -82.9359970         35.7914772         0.00000000                 0
  -82.8297577         35.8799629         0.00000000                 1
  -82.8876877         35.8190002         0.00000000                 1
  -82.8496094         35.8372688         0.00000000                 1
  -82.8602753         35.8379517         0.00000000                 1
  -82.8730698         35.8231087         0.00000000                 1
  -82.8532333         35.9061203         0.00000000                 1
  -82.8862305         35.9165230         0.00000000                 1
  -82.8353958         35.8725357         0.00000000                 1
  -82.8813400         35.8207016         0.00000000                 1
  -82.8324203         35.8932037         0.00000000                 1
  -82.8494034         35.9046745         0.00000000                 1
  -82.8818283         35.8203049         0.00000000                 1
  -82.8334885         35.8938141         0.00000000                 1
  -82.8963699         35.8139610         0.00000000                 1
  -82.8412704         35.8545570         0.00000000                 1
  -82.8333054         35.8762894         0.00000000                 1
  -82.8546829         35.8370018         0.00000000                 1
  -82.8728943         35.8335609         0.00000000                 0
  -82.8269577         35.8872261         0.00000000                 1
  -82.8448334         35.8984108         0.00000000                 1
  -82.8667755         35.9146957         0.00000000                 1
  -82.8381348         35.8774834         0.00000000                 1
  -82.8512726         35.8382988         0.00000000                 1
  -82.8376465         35.8643074         0.00000000                 1
  -82.9190063         35.8059387         0.00000000                 1
  -82.9424896         35.8151321         0.00000000                 0
  -82.8555145         35.9107246         0.00000000                 1
  -82.8694000         35.8257332         0.00000000                 1
  -82.8803635         35.8188744         0.00000000                 1
  -82.9451752         35.8150673         0.00000000                 0
  -82.8370438         35.8668861         0.00000000                 1
  -82.9112015         35.8073730         0.00000000                 1
  -82.8817368         35.9154701         0.00000000                 1
  -82.8496323         35.9042854         0.00000000                 1
  -82.8259583         35.8877907         0.00000000                 1
  -82.8468857         35.8384781         0.00000000                 1
  -82.8802948         35.8198700         0.00000000                 1
  -82.8392792         35.8524399         0.00000000                 1
  -82.9116135         35.8172722         0.00000000                 1
  -82.8604660         35.8973007         0.00000000                 1
  -82.8484497         35.8363380         0.00000000                 1
  -82.9279556         35.7936935         0.00000000                 0
  -82.9195404         35.7926979         0.00000000                 1
  -82.8740997         35.8334999         0.00000000                 0
  -82.8689346         35.9152985         0.00000000                 1
  -82.8637848         35.9048347         0.00000000                 1
  -82.8738785         35.8250008         0.00000000                 1
  -82.8521042         35.8371048         0.00000000                 1
  -82.9071655         35.8139267         0.00000000                 1
  -82.8377686         35.8704948         0.00000000                 1
  -82.8629303         35.9040184         0.00000000                 1
  -82.8278122         35.8845673         0.00000000                 1
  -82.8328400         35.8885231         0.00000000                 1
  -82.8487701         35.8418427         0.00000000                 1
