 longitude      latitude      elevation    fog
  -82.9405212         35.7913361         0.00000000                 0
  -82.9326172         35.7926216         0.00000000                 0
  -82.9203949         35.8063507         0.00000000                 1
  -82.9147491         35.8050003         0.00000000                 1
  -82.9101715         35.8073616         0.00000000                 1
  -82.9520416         35.8129158         0.00000000                 0
  -82.9475937         35.7912102         0.00000000                 0
  -82.9444962         35.7999344         0.00000000                 0
  -82.9270630         35.7999687         0.00000000                 0
  -82.9260712         35.8007126         0.00000000                 0
  -82.9517059         35.8067207         0.00000000                 0
  -82.9250641         35.8006706         0.00000000                 0
  -82.9049759         35.8118668         0.00000000                 1
  -82.9258194         35.8198624         0.00000000                 0
  -82.9311600         35.8169975         0.00000000                 0
  -82.9277649         35.8006897         0.00000000                 0
  -82.9113617         35.8160782         0.00000000                 0
  -82.9121246         35.8166275         0.00000000                 1
  -82.9092026         35.8160248         0.00000000                 1
  -82.9092865         35.8160133         0.00000000                 1
  -82.9425583         35.7910004         0.00000000                 0
  -82.9359970         35.7912407         0.00000000                 0
  -82.9162598         35.8057899         0.00000000                 1
  -82.9117050         35.8058281         0.00000000                 1
  -82.9502716         35.7911530         0.00000000                 0
  -82.9456482         35.7911568         0.00000000                 0
  -82.9342346         35.7923317         0.00000000                 0
  -82.9227829         35.7912521         0.00000000                 0
  -82.9425507         35.8161049         0.00000000                 0
  -82.9542618         35.8075485         0.00000000                 0
  -82.9445190         35.8027573         0.00000000                 0
  -82.9257889         35.8005905         0.00000000                 0
  -82.9012604         35.8109283         0.00000000                 1
  -82.9222717         35.8189468         0.00000000                 0
  -82.9403076         35.8153877         0.00000000                 0
  -82.9156647         35.8177223         0.00000000                 0
  -82.9203796         35.8184471         0.00000000                 0
  -82.9112625         35.8167648         0.00000000                 1
  -82.9087524         35.8146477         0.00000000                 0
  -82.9096298         35.8154869         0.00000000                 1
  -82.9451218         35.7909622         0.00000000                 0
  -82.9205093         35.7926064         0.00000000                 1
  -82.9201965         35.7923927         0.00000000                 1
  -82.9206543         35.8058205         0.00000000                 1
  -82.9529114         35.7940063         0.00000000                 0
  -82.9442749         35.8013725         0.00000000                 0
  -82.9463501         35.7948303         0.00000000                 0
  -82.9617004         35.8000641         0.00000000                 0
  -82.9520950         35.8072090         0.00000000                 0
  -82.9384537         35.8015060         0.00000000                 0
  -82.9321823         35.8167725         0.00000000                 0
  -82.9139557         35.8167534         0.00000000                 0
  -82.9331665         35.8165321         0.00000000                 0
  -82.9036560         35.8143616         0.00000000                 1
  -82.9148941         35.8171692         0.00000000                 0
  -82.9262238         35.7929878         0.00000000                 0
  -82.9199829         35.8064651         0.00000000                 1
  -82.9071655         35.8093796         0.00000000                 1
  -82.9477539         35.7907333         0.00000000                 0
  -82.9501877         35.7951431         0.00000000                 0
  -82.9295578         35.7992630         0.00000000                 0
  -82.9601669         35.8077888         0.00000000                 0
  -82.9569321         35.8006859         0.00000000                 0
  -82.9475937         35.8126221         0.00000000                 0
  -82.9223328         35.8026695         0.00000000                 1
  -82.9304123         35.8175468         0.00000000                 0
  -82.9053345         35.8139153         0.00000000                 1
  -82.9128113         35.8166084         0.00000000                 0
  -82.9060974         35.8141632         0.00000000                 1
  -82.9435425         35.7911339         0.00000000                 0
  -82.9247665         35.7913971         0.00000000                 0
  -82.9204788         35.8026199         0.00000000                 1
  -82.9103088         35.8079414         0.00000000                 1
  -82.9617615         35.7983475         0.00000000                 0
  -82.9538116         35.7958107         0.00000000                 0
  -82.9316101         35.7931099         0.00000000                 0
  -82.9302063         35.7990990         0.00000000                 0
  -82.9491272         35.8127098         0.00000000                 0
  -82.9528046         35.8126259         0.00000000                 0
  -82.9231339         35.8015671         0.00000000                 0
  -82.9128647         35.8058891         0.00000000                 1
  -82.9257355         35.8190460         0.00000000                 0
  -82.9429016         35.8014603         0.00000000                 0
  -82.9130020         35.8164406         0.00000000                 0
  -82.9072495         35.8137436         0.00000000                 1
  -82.9007797         35.8127403         0.00000000                 1
  -82.9393463         35.7918663         0.00000000                 0
  -82.9252396         35.7921219         0.00000000                 0
  -82.9208298         35.8059616         0.00000000                 1
  -82.9121399         35.8051147         0.00000000                 1
  -82.9570236         35.8111420         0.00000000                 0
  -82.9447784         35.7913208         0.00000000                 0
  -82.9174576         35.8062134         0.00000000                 1
  -82.9038849         35.8101921         0.00000000                 1
  -82.9599609         35.8032417         0.00000000                 0
  -82.9241943         35.8008156         0.00000000                 0
  -82.9346313         35.8166046         0.00000000                 0
  -82.9171524         35.8177834         0.00000000                 0
  -82.9284286         35.7993660         0.00000000                 0
  -82.9198380         35.8185081         0.00000000                 0
  -82.9120712         35.8163643         0.00000000                 1
  -82.9077072         35.8139572         0.00000000                 1
  -82.8986816         35.8156204         0.00000000                 1
  -82.9383392         35.7917290         0.00000000                 0
  -82.9193192         35.7944374         0.00000000                 1
  -82.9207306         35.8041725         0.00000000                 1
  -82.9219666         35.8016357         0.00000000                 1
  -82.9104767         35.8061371         0.00000000                 1
  -82.9566803         35.7924767         0.00000000                 0
  -82.9444275         35.7913437         0.00000000                 0
  -82.9456024         35.8011246         0.00000000                 0
  -82.9267273         35.8003540         0.00000000                 0
  -82.9613953         35.8033791         0.00000000                 0
  -82.9467926         35.8130035         0.00000000                 0
  -82.9441376         35.8146935         0.00000000                 0
  -82.9434586         35.8156700         0.00000000                 0
  -82.9327927         35.8167801         0.00000000                 0
  -82.9140320         35.8171425         0.00000000                 0
  -82.9082336         35.8143654         0.00000000                 1
  -82.9085693         35.8146400         0.00000000                 0
  -82.9456406         35.7901535         0.00000000                 0
  -82.9201508         35.8007584         0.00000000                 1
  -82.9108429         35.8065643         0.00000000                 1
  -82.9589386         35.7932205         0.00000000                 0
  -82.9437714         35.7906609         0.00000000                 0
  -82.9238663         35.7914925         0.00000000                 0
  -82.9505768         35.8129539         0.00000000                 0
  -82.9431686         35.8007088         0.00000000                 0
  -82.9042282         35.8095436         0.00000000                 1
  -82.9199066         35.8186646         0.00000000                 0
  -82.9169922         35.8174171         0.00000000                 0
  -82.9360123         35.8017082         0.00000000                 0
  -82.9329071         35.7995262         0.00000000                 0
  -82.9215393         35.8187904         0.00000000                 0
  -82.9126129         35.8168716         0.00000000                 0
  -82.9004211         35.8124313         0.00000000                 1
  -82.9064102         35.8145370         0.00000000                 1
  -82.9346695         35.7920265         0.00000000                 0
  -82.9186096         35.7944221         0.00000000                 1
  -82.9172821         35.8059845         0.00000000                 1
  -82.9104309         35.8074799         0.00000000                 1
  -82.9395218         35.7909622         0.00000000                 0
  -82.9268494         35.7930946         0.00000000                 0
  -82.9456711         35.8149681         0.00000000                 0
  -82.9484940         35.8113251         0.00000000                 0
  -82.9296722         35.8171654         0.00000000                 0
  -82.9251099         35.8013306         0.00000000                 0
  -82.9324188         35.8169594         0.00000000                 0
  -82.9236908         35.8191490         0.00000000                 0
  -82.9130325         35.8164597         0.00000000                 0
  -82.9044418         35.8097763         0.00000000                 1
  -82.9167557         35.8172112         0.00000000                 0
  -82.9115982         35.8159409         0.00000000                 0
  -82.9003983         35.8143005         0.00000000                 1
  -82.9101410         35.8159142         0.00000000                 1
  -82.9464951         35.7907639         0.00000000                 0
  -82.9197388         35.7952271         0.00000000                 1
  -82.9151764         35.8048248         0.00000000                 1
  -82.9089661         35.8083305         0.00000000                 1
  -82.9576950         35.8100510         0.00000000                 0
  -82.9520111         35.7946815         0.00000000                 0
  -82.9367294         35.7915573         0.00000000                 0
  -82.9213715         35.8074760         0.00000000                 0
  -82.9614334         35.8003960         0.00000000                 0
  -82.9496002         35.8099403         0.00000000                 0
  -82.9357071         35.8175392         0.00000000                 0
