 longitude      latitude      elevation    fog
  -82.8561478         35.9065094         0.00000000                 1
  -82.8474655         35.9043198         0.00000000                 1
  -82.8376083         35.8716240         0.00000000                 1
  -82.8371201         35.8816605         0.00000000                 0
  -82.8575668         35.9094658         0.00000000                 1
  -82.8389206         35.8811302         0.00000000                 0
  -82.8639450         35.8309517         0.00000000                 1
  -82.8949890         35.8251495         0.00000000                 0
  -82.8605194         35.8473053         0.00000000                 0
  -82.8733673         35.8347816         0.00000000                 0
  -82.8646774         35.8297882         0.00000000                 1
  -82.8726959         35.9060974         0.00000000                 1
  -82.8640060         35.8460236         0.00000000                 0
  -82.8725357         35.9021339         0.00000000                 1
  -82.8269043         35.8864670         0.00000000                 1
  -82.8612289         35.9042969         0.00000000                 1
  -82.8716125         35.8356133         0.00000000                 1
  -82.8551331         35.8988762         0.00000000                 1
  -82.8926468         35.8211937         0.00000000                 1
  -82.8560715         35.8440018         0.00000000                 0
  -82.9388123         35.8017082         0.00000000                 0
  -82.8426132         35.8470268         0.00000000                 1
  -82.8413010         35.8441887         0.00000000                 1
  -82.8426971         35.8491364         0.00000000                 1
  -82.8946381         35.8281021         0.00000000                 0
  -82.9589310         35.7997131         0.00000000                 0
  -82.8650284         35.8362198         0.00000000                 1
  -82.8600082         35.9129677         0.00000000                 1
  -82.8373871         35.8686981         0.00000000                 1
  -82.9206161         35.8187523         0.00000000                 0
  -82.8596268         35.8427734         0.00000000                 0
  -82.8285065         35.8885612         0.00000000                 1
  -82.9028778         35.8245735         0.00000000                 0
  -82.8563690         35.9064255         0.00000000                 1
  -82.8422394         35.8456306         0.00000000                 1
  -82.8752670         35.8223495         0.00000000                 1
  -82.8435669         35.8963585         0.00000000                 1
  -82.8820419         35.8293724         0.00000000                 0
  -82.8426666         35.8471718         0.00000000                 1
  -82.8700485         35.9105835         0.00000000                 1
  -82.9029388         35.8243027         0.00000000                 0
  -82.8693466         35.8369827         0.00000000                 1
  -82.8550339         35.8996391         0.00000000                 1
  -82.8979340         35.8266296         0.00000000                 0
  -82.8678894         35.8289757         0.00000000                 1
  -82.8506241         35.8457031         0.00000000                 0
  -82.8628922         35.8326797         0.00000000                 1
  -82.8426056         35.8474998         0.00000000                 1
  -82.8633728         35.8297386         0.00000000                 1
  -82.8358231         35.8652725         0.00000000                 1
  -82.9121246         35.8166313         0.00000000                 1
  -82.8331451         35.8901215         0.00000000                 1
  -82.8618469         35.8996429         0.00000000                 1
  -82.8897400         35.8230324         0.00000000                 1
  -82.8547211         35.8379936         0.00000000                 1
  -82.8633652         35.8378563         0.00000000                 1
  -82.8977203         35.8179474         0.00000000                 1
  -82.9198990         35.8183746         0.00000000                 0
  -82.8654022         35.8242874         0.00000000                 1
  -82.8397217         35.8572655         0.00000000                 1
  -82.8400955         35.8822136         0.00000000                 0
  -82.8692398         35.8369865         0.00000000                 1
  -82.8381653         35.8946266         0.00000000                 1
  -82.8579102         35.8466187         0.00000000                 0
  -82.8392868         35.8627472         0.00000000                 1
  -82.9359207         35.8071175         0.00000000                 0
  -82.8371048         35.8728752         0.00000000                 1
  -82.8718414         35.9123878         0.00000000                 1
  -82.8544540         35.8484306         0.00000000                 0
  -82.8715515         35.8379173         0.00000000                 1
  -82.8751450         35.8370476         0.00000000                 0
  -82.8949203         35.8251534         0.00000000                 0
  -82.8597717         35.8474617         0.00000000                 0
  -82.8577347         35.8371315         0.00000000                 1
  -82.8405075         35.8601036         0.00000000                 1
  -82.8620834         35.9000816         0.00000000                 1
  -82.9034805         35.8283615         0.00000000                 0
  -82.9045410         35.8240585         0.00000000                 0
  -82.8763351         35.9126854         0.00000000                 1
  -82.8712006         35.8362312         0.00000000                 1
  -82.8608780         35.8469086         0.00000000                 0
  -82.8997650         35.8230934         0.00000000                 0
  -82.8986435         35.8218079         0.00000000                 0
  -82.8653488         35.9045944         0.00000000                 1
  -82.8432007         35.8970299         0.00000000                 1
  -82.8887939         35.8239059         0.00000000                 0
  -82.8741302         35.8340912         0.00000000                 0
  -82.8895950         35.8230171         0.00000000                 1
  -82.9218597         35.8190536         0.00000000                 0
  -82.8644943         35.9003563         0.00000000                 1
  -82.8519211         35.8379250         0.00000000                 1
  -82.8655853         35.8244171         0.00000000                 1
  -82.8408203         35.8951035         0.00000000                 1
  -82.8658676         35.8243179         0.00000000                 1
  -82.8385162         35.8723602         0.00000000                 1
  -82.8910522         35.8224564         0.00000000                 1
  -82.8907394         35.8223381         0.00000000                 1
  -82.8611298         35.8474655         0.00000000                 0
  -82.8616486         35.8450775         0.00000000                 0
  -82.8601837         35.9135361         0.00000000                 1
  -82.8614960         35.8361397         0.00000000                 1
  -82.8905869         35.8223190         0.00000000                 1
  -82.8811646         35.8325996         0.00000000                 0
  -82.8944016         35.8243713         0.00000000                 0
  -82.8672180         35.9156265         0.00000000                 1
  -82.9250565         35.8063698         0.00000000                 0
  -82.8592148         35.9093208         0.00000000                 1
  -82.8638916         35.9122925         0.00000000                 1
  -82.8570709         35.8451958         0.00000000                 0
  -82.8590927         35.8473320         0.00000000                 0
  -82.8550110         35.9041634         0.00000000                 1
  -82.8947678         35.8251762         0.00000000                 0
  -82.8521271         35.8370705         0.00000000                 1
  -82.8479614         35.8369026         0.00000000                 1
  -82.8453903         35.9004555         0.00000000                 1
  -82.8660812         35.8245735         0.00000000                 1
  -82.9158707         35.8122215         0.00000000                 0
  -82.8427811         35.8563690         0.00000000                 1
  -82.8712921         35.8365936         0.00000000                 1
  -82.9222946         35.8146477         0.00000000                 0
  -82.8395844         35.8650208         0.00000000                 1
  -82.8750229         35.8188972         0.00000000                 1
  -82.8736649         35.8241997         0.00000000                 1
  -82.8894806         35.8228569         0.00000000                 1
  -82.8612671         35.8453636         0.00000000                 0
  -82.8390732         35.8963203         0.00000000                 1
  -82.9245453         35.8055267         0.00000000                 0
  -82.9149017         35.8110085         0.00000000                 0
  -82.8443527         35.8400803         0.00000000                 1
  -82.9295654         35.8127632         0.00000000                 0
  -82.9230270         35.8070068         0.00000000                 0
  -82.8722305         35.9011383         0.00000000                 1
  -82.8602371         35.8477783         0.00000000                 0
  -82.8515854         35.8370514         0.00000000                 1
  -82.8662415         35.8291969         0.00000000                 1
  -82.8372955         35.8725166         0.00000000                 1
  -82.8674011         35.8458595         0.00000000                 0
  -82.8708115         35.8403587         0.00000000                 1
  -82.8446808         35.8751373         0.00000000                 1
  -82.8641891         35.8461075         0.00000000                 0
  -82.8658524         35.9098854         0.00000000                 1
  -82.8826141         35.8307915         0.00000000                 0
  -82.8585358         35.8477936         0.00000000                 0
  -82.8692780         35.8354607         0.00000000                 1
  -82.8709564         35.8221703         0.00000000                 1
  -82.8333740         35.8914223         0.00000000                 1
  -82.8555908         35.8434486         0.00000000                 0
  -82.8749313         35.7964973         0.00000000                 0
  -82.8714981         35.7973022         0.00000000                 0
  -82.8867493         35.7897644         0.00000000                 0
  -82.8892365         35.8225746         0.00000000                 1
  -82.8508530         35.8449821         0.00000000                 0
  -82.8873749         35.7900276         0.00000000                 0
  -82.8747940         35.7963333         0.00000000                 0
  -82.8566437         35.9081917         0.00000000                 1
