 longitude      latitude      elevation    fog
  -82.8614426         35.9121742         0.00000000                 1
  -82.8335800         35.8919106         0.00000000                 1
  -82.8309860         35.8868904         0.00000000                 1
  -82.8415985         35.8563614         0.00000000                 1
  -82.8377914         35.8790970         0.00000000                 0
  -82.8627701         35.8330154         0.00000000                 1
  -82.8423767         35.8969460         0.00000000                 1
  -82.8328018         35.8915024         0.00000000                 1
  -82.8388519         35.8788452         0.00000000                 0
  -82.8675842         35.8292007         0.00000000                 1
  -82.8761673         35.8183060         0.00000000                 1
  -82.8541718         35.8376923         0.00000000                 1
  -82.8946991         35.8244820         0.00000000                 0
  -82.8379364         35.8705635         0.00000000                 1
  -82.8939972         35.8238449         0.00000000                 0
  -82.8625259         35.8452568         0.00000000                 0
  -82.8649368         35.8339462         0.00000000                 1
  -82.8759003         35.8196373         0.00000000                 1
  -82.8516312         35.8374519         0.00000000                 1
  -82.8633804         35.8986473         0.00000000                 1
  -82.8621674         35.8436546         0.00000000                 0
  -82.8717651         35.9002800         0.00000000                 1
  -82.8376541         35.8717194         0.00000000                 1
  -82.8495483         35.9020424         0.00000000                 1
  -82.8576431         35.9126778         0.00000000                 1
  -82.8733902         35.8343468         0.00000000                 0
  -82.8847656         35.9131622         0.00000000                 1
  -82.8548889         35.8987350         0.00000000                 1
  -82.8925476         35.8224220         0.00000000                 1
  -82.8549042         35.8422623         0.00000000                 0
  -82.9406662         35.8016815         0.00000000                 0
  -82.8567123         35.8384666         0.00000000                 1
  -82.8622055         35.8364563         0.00000000                 1
  -82.8588867         35.8382607         0.00000000                 1
  -82.8944855         35.8271103         0.00000000                 0
  -82.9547729         35.7981453         0.00000000                 0
  -82.8689957         35.8364716         0.00000000                 1
  -82.8386917         35.8940506         0.00000000                 1
  -82.8419571         35.8554764         0.00000000                 1
  -82.9251404         35.8194427         0.00000000                 0
  -82.8541260         35.8438606         0.00000000                 0
  -82.8374481         35.8731384         0.00000000                 1
  -82.9029236         35.8237419         0.00000000                 0
  -82.8411407         35.8938904         0.00000000                 1
  -82.8572693         35.8371582         0.00000000                 1
  -82.8905640         35.8186188         0.00000000                 1
  -82.8274384         35.8868713         0.00000000                 1
  -82.8806686         35.8269196         0.00000000                 0
  -82.8429260         35.8494682         0.00000000                 1
  -82.8596344         35.8369789         0.00000000                 1
  -82.8554077         35.9037895         0.00000000                 1
  -82.8996429         35.8216705         0.00000000                 0
  -82.8665237         35.8346329         0.00000000                 1
  -82.8499222         35.8941040         0.00000000                 0
  -82.8962250         35.8250389         0.00000000                 0
  -82.8772049         35.8218842         0.00000000                 1
  -82.8382111         35.8794823         0.00000000                 0
  -82.8570404         35.9049416         0.00000000                 1
  -82.8504028         35.8436928         0.00000000                 0
  -82.8775253         35.8190880         0.00000000                 1
  -82.8600006         35.8363800         0.00000000                 1
  -82.8764114         35.8189316         0.00000000                 1
  -82.8392029         35.8511162         0.00000000                 1
  -82.9183350         35.8180122         0.00000000                 0
  -82.8854599         35.9165802         0.00000000                 1
  -82.8358002         35.8742294         0.00000000                 1
  -82.8608322         35.8974266         0.00000000                 1
  -82.8896942         35.8227119         0.00000000                 1
  -82.8633270         35.8309402         0.00000000                 1
  -82.8644409         35.8383331         0.00000000                 1
  -82.9092636         35.8156776         0.00000000                 1
  -82.8404541         35.8575974         0.00000000                 1
  -82.8814087         35.9108047         0.00000000                 1
  -82.9241333         35.8198509         0.00000000                 0
  -82.8660278         35.8249207         0.00000000                 1
  -82.8484726         35.8367767         0.00000000                 1
  -82.8387985         35.8802299         0.00000000                 0
  -82.8722610         35.8341217         0.00000000                 1
  -82.8305664         35.8778114         0.00000000                 1
  -82.8671265         35.9135170         0.00000000                 1
  -82.8810501         35.9152374         0.00000000                 1
  -82.8557968         35.8440285         0.00000000                 0
  -82.8357391         35.8919334         0.00000000                 1
  -82.8458252         35.8388367         0.00000000                 1
  -82.9344330         35.8063545         0.00000000                 0
  -82.8419342         35.8556938         0.00000000                 1
  -82.8726959         35.9021187         0.00000000                 1
  -82.8526535         35.8457413         0.00000000                 0
  -82.8739319         35.8339462         0.00000000                 0
  -82.8733597         35.8337784         0.00000000                 0
  -82.8949890         35.8239021         0.00000000                 0
  -82.8567123         35.8460884         0.00000000                 0
  -82.8724213         35.8255424         0.00000000                 1
  -82.8437729         35.8405914         0.00000000                 1
  -82.8596115         35.8994179         0.00000000                 1
  -82.8984222         35.8257904         0.00000000                 0
  -82.9003906         35.8225670         0.00000000                 0
  -82.8593903         35.9049377         0.00000000                 1
  -82.8739929         35.8339424         0.00000000                 0
  -82.8610153         35.8453712         0.00000000                 0
  -82.8986816         35.8213234         0.00000000                 0
  -82.8999710         35.8225250         0.00000000                 0
  -82.8489990         35.9012604         0.00000000                 1
  -82.8281097         35.8831444         0.00000000                 1
  -82.8900299         35.8227043         0.00000000                 1
  -82.8708267         35.8331680         0.00000000                 1
  -82.8888855         35.8233719         0.00000000                 0
  -82.9257507         35.8195686         0.00000000                 0
  -82.8612595         35.8969994         0.00000000                 1
  -82.8596039         35.8993721         0.00000000                 1
  -82.8628464         35.8309326         0.00000000                 1
  -82.8656693         35.8247795         0.00000000                 1
  -82.8289108         35.8823051         0.00000000                 1
  -82.8661652         35.8243141         0.00000000                 1
  -82.8432159         35.8605194         0.00000000                 1
  -82.8906631         35.8225098         0.00000000                 1
  -82.8896561         35.8228607         0.00000000                 1
  -82.8544159         35.9123726         0.00000000                 1
  -82.8634415         35.8443222         0.00000000                 0
  -82.8622513         35.8439598         0.00000000                 0
  -82.8934555         35.8217430         0.00000000                 1
  -82.8354340         35.8930359         0.00000000                 1
  -82.8727646         35.8218231         0.00000000                 1
  -82.8895645         35.8229637         0.00000000                 1
  -82.8824997         35.8290329         0.00000000                 0
  -82.8937531         35.8210411         0.00000000                 1
  -82.8417358         35.8965416         0.00000000                 1
  -82.9252014         35.8056831         0.00000000                 0
  -82.8457336         35.8382988         0.00000000                 1
  -82.8451385         35.9004402         0.00000000                 1
  -82.8460083         35.9020576         0.00000000                 1
  -82.8554993         35.8421707         0.00000000                 0
